,Distribución por fuente de ingresos,Periodo,Total,cod_mun,nom_mun,Total_num
59310,Fuente de ingreso: prestaciones por desempleo,2020,"807,0",08073,Cornellà de Llobregat,807.0
59311,Fuente de ingreso: prestaciones por desempleo,2019,"262,0",08073,Cornellà de Llobregat,262.0
59316,Fuente de ingreso: otras prestaciones,2020,"787,0",08073,Cornellà de Llobregat,787.0
59317,Fuente de ingreso: otras prestaciones,2019,"753,0",08073,Cornellà de Llobregat,753.0
59322,Fuente de ingreso: otros ingresos,2020,"1.079,0",08073,Cornellà de Llobregat,1079.0
59323,Fuente de ingreso: otros ingresos,2019,"1.180,0",08073,Cornellà de Llobregat,1180.0
63252,Renta bruta media por persona,2020,"19.652,0",08077,Esplugues de Llobregat,19652.0
63253,Renta bruta media por persona,2019,"20.016,0",08077,Esplugues de Llobregat,20016.0
63258,Fuente de ingreso: salario,2020,"11.427,0",08077,Esplugues de Llobregat,11427.0
63259,Fuente de ingreso: salario,2019,"12.100,0",08077,Esplugues de Llobregat,12100.0
63264,Fuente de ingreso: pensiones,2020,"4.019,0",08077,Esplugues de Llobregat,4019.0
63265,Fuente de ingreso: pensiones,2019,"3.858,0",08077,Esplugues de Llobregat,3858.0
63270,Fuente de ingreso: prestaciones por desempleo,2020,"753,0",08077,Esplugues de Llobregat,753.0
63271,Fuente de ingreso: prestaciones por desempleo,2019,"238,0",08077,Esplugues de Llobregat,238.0
63276,Fuente de ingreso: otras prestaciones,2020,"771,0",08077,Esplugues de Llobregat,771.0
63277,Fuente de ingreso: otras prestaciones,2019,"745,0",08077,Esplugues de Llobregat,745.0
63282,Fuente de ingreso: otros ingresos,2020,"2.683,0",08077,Esplugues de Llobregat,2683.0
63283,Fuente de ingreso: otros ingresos,2019,"3.075,0",08077,Esplugues de Llobregat,3075.0
66636,Renta bruta media por persona,2020,"18.071,0",08089,Gavà,18071.0
66637,Renta bruta media por persona,2019,"17.916,0",08089,Gavà,17916.0
66642,Fuente de ingreso: salario,2020,"11.494,0",08089,Gavà,11494.0
66643,Fuente de ingreso: salario,2019,"11.905,0",08089,Gavà,11905.0
66648,Fuente de ingreso: pensiones,2020,"3.083,0",08089,Gavà,3083.0
66649,Fuente de ingreso: pensiones,2019,"3.003,0",08089,Gavà,3003.0
66654,Fuente de ingreso: prestaciones por desempleo,2020,"841,0",08089,Gavà,841.0
66655,Fuente de ingreso: prestaciones por desempleo,2019,"254,0",08089,Gavà,254.0
66660,Fuente de ingreso: otras prestaciones,2020,"764,0",08089,Gavà,764.0
66661,Fuente de ingreso: otras prestaciones,2019,"720,0",08089,Gavà,720.0
66666,Fuente de ingreso: otros ingresos,2020,"1.889,0",08089,Gavà,1889.0
66667,Fuente de ingreso: otros ingresos,2019,"2.034,0",08089,Gavà,2034.0
70668,Renta bruta media por persona,2020,"13.830,0",08101,"Hospitalet de Llobregat, L'",13830.0
70669,Renta bruta media por persona,2019,"13.845,0",08101,"Hospitalet de Llobregat, L'",13845.0
70674,Fuente de ingreso: salario,2020,"8.240,0",08101,"Hospitalet de Llobregat, L'",8240.0
70675,Fuente de ingreso: salario,2019,"8.848,0",08101,"Hospitalet de Llobregat, L'",8848.0
70680,Fuente de ingreso: pensiones,2020,"3.147,0",08101,"Hospitalet de Llobregat, L'",3147.0
70681,Fuente de ingreso: pensiones,2019,"3.066,0",08101,"Hospitalet de Llobregat, L'",3066.0
70686,Fuente de ingreso: prestaciones por desempleo,2020,"848,0",08101,"Hospitalet de Llobregat, L'",848.0
70687,Fuente de ingreso: prestaciones por desempleo,2019,"255,0",08101,"Hospitalet de Llobregat, L'",255.0
70692,Fuente de ingreso: otras prestaciones,2020,"694,0",08101,"Hospitalet de Llobregat, L'",694.0
70693,Fuente de ingreso: otras prestaciones,2019,"656,0",08101,"Hospitalet de Llobregat, L'",656.0
70698,Fuente de ingreso: otros ingresos,2020,"901,0",08101,"Hospitalet de Llobregat, L'",901.0
70699,Fuente de ingreso: otros ingresos,2019,"1.020,0",08101,"Hospitalet de Llobregat, L'",1020.0
79308,Renta bruta media por persona,2020,"14.026,0",08105,"Llagosta, La",14026.0
79309,Renta bruta media por persona,2019,"13.800,0",08105,"Llagosta, La",13800.0
79314,Fuente de ingreso: salario,2020,"8.708,0",08105,"Llagosta, La",8708.0
79315,Fuente de ingreso: salario,2019,"9.072,0",08105,"Llagosta, La",9072.0
79320,Fuente de ingreso: pensiones,2020,"2.967,0",08105,"Llagosta, La",2967.0
79321,Fuente de ingreso: pensiones,2019,"2.876,0",08105,"Llagosta, La",2876.0
79326,Fuente de ingreso: prestaciones por desempleo,2020,"822,0",08105,"Llagosta, La",822.0
79327,Fuente de ingreso: prestaciones por desempleo,2019,"297,0",08105,"Llagosta, La",297.0
79332,Fuente de ingreso: otras prestaciones,2020,"784,0",08105,"Llagosta, La",784.0
79333,Fuente de ingreso: otras prestaciones,2019,"723,0",08105,"Llagosta, La",723.0
79338,Fuente de ingreso: otros ingresos,2020,"744,0",08105,"Llagosta, La",744.0
79339,Fuente de ingreso: otros ingresos,2019,"833,0",08105,"Llagosta, La",833.0
91152,Renta bruta media por persona,2020,"15.189,0",08125,Montcada i Reixac,15189.0
91153,Renta bruta media por persona,2019,"15.225,0",08125,Montcada i Reixac,15225.0
91158,Fuente de ingreso: salario,2020,"9.819,0",08125,Montcada i Reixac,9819.0
91159,Fuente de ingreso: salario,2019,"10.376,0",08125,Montcada i Reixac,10376.0
91164,Fuente de ingreso: pensiones,2020,"2.666,0",08125,Montcada i Reixac,2666.0
91165,Fuente de ingreso: pensiones,2019,"2.570,0",08125,Montcada i Reixac,2570.0
91170,Fuente de ingreso: prestaciones por desempleo,2020,"832,0",08125,Montcada i Reixac,832.0
91171,Fuente de ingreso: prestaciones por desempleo,2019,"289,0",08125,Montcada i Reixac,289.0
91176,Fuente de ingreso: otras prestaciones,2020,"762,0",08125,Montcada i Reixac,762.0
91177,Fuente de ingreso: otras prestaciones,2019,"707,0",08125,Montcada i Reixac,707.0
91182,Fuente de ingreso: otros ingresos,2020,"1.109,0",08125,Montcada i Reixac,1109.0
91183,Fuente de ingreso: otros ingresos,2019,"1.283,0",08125,Montcada i Reixac,1283.0
92196,Renta bruta media por persona,2020,"19.142,0",08126,Montgat,19142.0
92197,Renta bruta media por persona,2019,"18.896,0",08126,Montgat,18896.0
92202,Fuente de ingreso: salario,2020,"12.711,0",08126,Montgat,12711.0
92203,Fuente de ingreso: salario,2019,"13.024,0",08126,Montgat,13024.0
92208,Fuente de ingreso: pensiones,2020,"2.900,0",08126,Montgat,2900.0
92209,Fuente de ingreso: pensiones,2019,"2.793,0",08126,Montgat,2793.0
92214,Fuente de ingreso: prestaciones por desempleo,2020,"831,0",08126,Montgat,831.0
92215,Fuente de ingreso: prestaciones por desempleo,2019,"273,0",08126,Montgat,273.0
92220,Fuente de ingreso: otras prestaciones,2020,"707,0",08126,Montgat,707.0
92221,Fuente de ingreso: otras prestaciones,2019,"677,0",08126,Montgat,677.0
92226,Fuente de ingreso: otros ingresos,2020,"1.993,0",08126,Montgat,1993.0
92227,Fuente de ingreso: otros ingresos,2019,"2.129,0",08126,Montgat,2129.0
97452,Renta bruta media por persona,2020,"19.653,0",08157,Pallejà,19653.0
97453,Renta bruta media por persona,2019,"19.667,0",08157,Pallejà,19667.0
97458,Fuente de ingreso: salario,2020,"12.946,0",08157,Pallejà,12946.0
97459,Fuente de ingreso: salario,2019,"13.367,0",08157,Pallejà,13367.0
97464,Fuente de ingreso: pensiones,2020,"2.931,0",08157,Pallejà,2931.0
97465,Fuente de ingreso: pensiones,2019,"2.898,0",08157,Pallejà,2898.0
97470,Fuente de ingreso: prestaciones por desempleo,2020,"752,0",08157,Pallejà,752.0
97471,Fuente de ingreso: prestaciones por desempleo,2019,"246,0",08157,Pallejà,246.0
97476,Fuente de ingreso: otras prestaciones,2020,"731,0",08157,Pallejà,731.0
