,Distribución por fuente de ingresos,Periodo,Total,cod_mun,nom_mun,Total_num
142171,Fuente de ingreso: salario,2019,"13.898,0",08270,Sitges,13898.0
142176,Fuente de ingreso: pensiones,2020,"3.504,0",08270,Sitges,3504.0
142177,Fuente de ingreso: pensiones,2019,"3.375,0",08270,Sitges,3375.0
142182,Fuente de ingreso: prestaciones por desempleo,2020,"895,0",08270,Sitges,895.0
142183,Fuente de ingreso: prestaciones por desempleo,2019,"236,0",08270,Sitges,236.0
142188,Fuente de ingreso: otras prestaciones,2020,"694,0",08270,Sitges,694.0
142189,Fuente de ingreso: otras prestaciones,2019,"553,0",08270,Sitges,553.0
142194,Fuente de ingreso: otros ingresos,2020,"4.942,0",08270,Sitges,4942.0
142195,Fuente de ingreso: otros ingresos,2019,"5.411,0",08270,Sitges,5411.0
149616,Renta bruta media por persona,2020,"25.931,0",08282,Tiana,25931.0
149617,Renta bruta media por persona,2019,"26.359,0",08282,Tiana,26359.0
149622,Fuente de ingreso: salario,2020,"16.286,0",08282,Tiana,16286.0
149623,Fuente de ingreso: salario,2019,"16.606,0",08282,Tiana,16606.0
149628,Fuente de ingreso: pensiones,2020,"3.723,0",08282,Tiana,3723.0
149629,Fuente de ingreso: pensiones,2019,"3.548,0",08282,Tiana,3548.0
149634,Fuente de ingreso: prestaciones por desempleo,2020,"707,0",08282,Tiana,707.0
149635,Fuente de ingreso: prestaciones por desempleo,2019,"199,0",08282,Tiana,199.0
149640,Fuente de ingreso: otras prestaciones,2020,"686,0",08282,Tiana,686.0
149641,Fuente de ingreso: otras prestaciones,2019,"642,0",08282,Tiana,642.0
149646,Fuente de ingreso: otros ingresos,2020,"4.529,0",08282,Tiana,4529.0
149647,Fuente de ingreso: otros ingresos,2019,"5.364,0",08282,Tiana,5364.0
151236,Renta bruta media por persona,2020,"19.932,0",08289,Torrelles de Llobregat,19932.0
151237,Renta bruta media por persona,2019,"19.654,0",08289,Torrelles de Llobregat,19654.0
151242,Fuente de ingreso: salario,2020,"13.590,0",08289,Torrelles de Llobregat,13590.0
151243,Fuente de ingreso: salario,2019,"13.747,0",08289,Torrelles de Llobregat,13747.0
151248,Fuente de ingreso: pensiones,2020,"2.538,0",08289,Torrelles de Llobregat,2538.0
151249,Fuente de ingreso: pensiones,2019,"2.460,0",08289,Torrelles de Llobregat,2460.0
151254,Fuente de ingreso: prestaciones por desempleo,2020,"830,0",08289,Torrelles de Llobregat,830.0
151255,Fuente de ingreso: prestaciones por desempleo,2019,"249,0",08289,Torrelles de Llobregat,249.0
151260,Fuente de ingreso: otras prestaciones,2020,"683,0",08289,Torrelles de Llobregat,683.0
151261,Fuente de ingreso: otras prestaciones,2019,"658,0",08289,Torrelles de Llobregat,658.0
151266,Fuente de ingreso: otros ingresos,2020,"2.290,0",08289,Torrelles de Llobregat,2290.0
151267,Fuente de ingreso: otros ingresos,2019,"2.540,0",08289,Torrelles de Llobregat,2540.0
154224,Renta bruta media por persona,2020,"16.247,0",08301,Viladecans,16247.0
154225,Renta bruta media por persona,2019,"16.149,0",08301,Viladecans,16149.0
154230,Fuente de ingreso: salario,2020,"10.707,0",08301,Viladecans,10707.0
154231,Fuente de ingreso: salario,2019,"11.231,0",08301,Viladecans,11231.0
154236,Fuente de ingreso: pensiones,2020,"2.748,0",08301,Viladecans,2748.0
154237,Fuente de ingreso: pensiones,2019,"2.636,0",08301,Viladecans,2636.0
154242,Fuente de ingreso: prestaciones por desempleo,2020,"854,0",08301,Viladecans,854.0
154243,Fuente de ingreso: prestaciones por desempleo,2019,"261,0",08301,Viladecans,261.0
154248,Fuente de ingreso: otras prestaciones,2020,"749,0",08301,Viladecans,749.0
154249,Fuente de ingreso: otras prestaciones,2019,"708,0",08301,Viladecans,708.0
154254,Fuente de ingreso: otros ingresos,2020,"1.189,0",08301,Viladecans,1189.0
154255,Fuente de ingreso: otros ingresos,2019,"1.313,0",08301,Viladecans,1313.0
159660,Renta bruta media por persona,2020,"12.566,0",08904,Badia del Vallès,12566.0
159661,Renta bruta media por persona,2019,"12.538,0",08904,Badia del Vallès,12538.0
159666,Fuente de ingreso: salario,2020,"7.285,0",08904,Badia del Vallès,7285.0
159667,Fuente de ingreso: salario,2019,"7.733,0",08904,Badia del Vallès,7733.0
159672,Fuente de ingreso: pensiones,2020,"3.275,0",08904,Badia del Vallès,3275.0
159673,Fuente de ingreso: pensiones,2019,"3.177,0",08904,Badia del Vallès,3177.0
159678,Fuente de ingreso: prestaciones por desempleo,2020,"751,0",08904,Badia del Vallès,751.0
159679,Fuente de ingreso: prestaciones por desempleo,2019,"329,0",08904,Badia del Vallès,329.0
159684,Fuente de ingreso: otras prestaciones,2020,"935,0",08904,Badia del Vallès,935.0
159685,Fuente de ingreso: otras prestaciones,2019,"920,0",08904,Badia del Vallès,920.0
159690,Fuente de ingreso: otros ingresos,2020,"319,0",08904,Badia del Vallès,319.0
159691,Fuente de ingreso: otros ingresos,2019,"380,0",08904,Badia del Vallès,380.0
