,cod_mun,nom_mun,Periodo,Edad media de la población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar
531,08089,Gavà,2018,"41,5","22,1","17,3","89,5","19,6","3,00"
532,08089,Gavà,2019,"41,8","22,5","17,6","88,9","19,2","3,00"
533,08089,Gavà,2020,"42,2","23,0","17,9","88,7","18,8","3,00"
600,08101,"Hospitalet de Llobregat, L'",2015,"42,7","24,8","20,5","81,8","16,7","3,00"
601,08101,"Hospitalet de Llobregat, L'",2016,"42,7","24,5","20,4","81,3","16,8","3,00"
602,08101,"Hospitalet de Llobregat, L'",2017,"42,7","25,3","20,3","80,1","16,8","3,00"
603,08101,"Hospitalet de Llobregat, L'",2018,"42,7","25,0","20,2","78,7","16,7","3,00"
604,08101,"Hospitalet de Llobregat, L'",2019,"42,7","25,0","20,0","77,2","16,7","3,00"
605,08101,"Hospitalet de Llobregat, L'",2020,"43,0","25,4","20,1","77,8","16,6","3,00"
624,08105,"Llagosta, La",2015,"41,0","20,0","18,3","89,6","19,6","3,00"
625,08105,"Llagosta, La",2016,"41,3","19,6","18,7","89,8","19,7","3,00"
626,08105,"Llagosta, La",2017,"41,5","19,9","18,6","89,3","19,6","3,00"
627,08105,"Llagosta, La",2018,"41,8","20,5","18,9","88,5","19,3","3,00"
628,08105,"Llagosta, La",2019,"42,2","21,2","19,2","87,9","18,8","3,00"
629,08105,"Llagosta, La",2020,"42,6","21,7","19,5","88,3","18,4","3,00"
744,08125,Montcada i Reixac,2015,"39,7","22,3","15,0","90,0","20,7","3,00"
745,08125,Montcada i Reixac,2016,"40,0","22,2","15,1","89,7","20,5","3,00"
746,08125,Montcada i Reixac,2017,"40,1","22,7","15,1","88,7","20,4","3,00"
747,08125,Montcada i Reixac,2018,"40,2","22,4","15,1","87,4","20,3","3,00"
748,08125,Montcada i Reixac,2019,"40,3","22,3","15,1","86,4","20,2","3,00"
